,Country,Region,Year,Infant Deaths,Under_Five Deaths,Adult Mortality,Alcohol Consumption,Hepatitis B,Measles,BMI,Polio,Diphtheria,Incidents of HIV,GDP(per capita),Population,Thinness (ten to nineteen years),Thinness (five to nine years),Schooling,Life Expectancy,Economy Status,Infant Deaths_lag1,Under_Five Deaths_lag1,Adult Mortality_lag1,Alcohol Consumption_lag1,Hepatitis B_lag1,Measles_lag1,BMI_lag1,Polio_lag1,Diphtheria_lag1,Incidents of HIV_lag1,GDP(per capita)_lag1,Population_lag1,Thinness (ten to nineteen years)_lag1,Thinness (five to nine years)_lag1,Schooling_lag1,Life Expectancy_lag1,Infant Deaths_lag2,Under_Five Deaths_lag2,Adult Mortality_lag2,Alcohol Consumption_lag2,Hepatitis B_lag2,Measles_lag2,BMI_lag2,Polio_lag2,Diphtheria_lag2,Incidents of HIV_lag2,GDP(per capita)_lag2,Population_lag2,Thinness (ten to nineteen years)_lag2,Thinness (five to nine years)_lag2,Schooling_lag2,Life Expectancy_lag2
10,Afghanistan,Asia,2010,64.2,87.8,250.135,0.02,66,29,22.7,66,66,0.02,526,29.19,18.4,18.4,3.2,61.0,Developing,66.7,91.7,254.9705,0.01,63.0,24.0,22.6,63.0,63.0,0.02,473.0,28.39,18.6,18.7,3.1,60.5,69.2,95.7,259.806,0.028,64.0,23.0,22.5,64.0,64.0,0.02,399.0,27.72,18.8,18.9,3.0,59.9
11,Afghanistan,Asia,2011,61.8,84.0,245.3,0.01,68,31,22.8,68,68,0.02,512,30.12,18.2,18.2,3.3,61.6,Developing,64.2,87.8,250.135,0.02,66.0,29.0,22.7,66.0,66.0,0.02,526.0,29.19,18.4,18.4,3.2,61.0,66.7,91.7,254.9705,0.01,63.0,24.0,22.6,63.0,63.0,0.02,473.0,28.39,18.6,18.7,3.1,60.5
12,Afghanistan,Asia,2012,59.5,80.3,240.464,0.01,67,33,22.9,67,67,0.03,558,31.16,17.9,18.0,3.4,62.1,Developing,61.8,84.0,245.3,0.01,68.0,31.0,22.8,68.0,68.0,0.02,512.0,30.12,18.2,18.2,3.3,61.6,64.2,87.8,250.135,0.02,66.0,29.0,22.7,66.0,66.0,0.02,526.0,29.19,18.4,18.4,3.2,61.0
13,Afghanistan,Asia,2013,57.3,76.9,236.221,0.01,64,38,23.0,64,64,0.03,569,32.27,17.7,17.7,3.5,62.5,Developing,59.5,80.3,240.464,0.01,67.0,33.0,22.9,67.0,67.0,0.03,558.0,31.16,17.9,18.0,3.4,62.1,61.8,84.0,245.3,0.01,68.0,31.0,22.8,68.0,68.0,0.02,512.0,30.12,18.2,18.2,3.3,61.6
14,Afghanistan,Asia,2014,55.2,73.6,231.978,0.01,62,44,23.2,62,62,0.03,565,33.37,17.5,17.5,3.5,63.0,Developing,57.3,76.9,236.221,0.01,64.0,38.0,23.0,64.0,64.0,0.03,569.0,32.27,17.7,17.7,3.5,62.5,59.5,80.3,240.464,0.01,67.0,33.0,22.9,67.0,67.0,0.03,558.0,31.16,17.9,18.0,3.4,62.1
15,Afghanistan,Asia,2015,53.2,70.4,227.735,0.0,65,42,23.3,67,65,0.03,556,34.41,17.2,17.3,3.6,63.4,Developing,55.2,73.6,231.978,0.01,62.0,44.0,23.2,62.0,62.0,0.03,565.0,33.37,17.5,17.5,3.5,63.0,57.3,76.9,236.221,0.01,64.0,38.0,23.0,64.0,64.0,0.03,569.0,32.27,17.7,17.7,3.5,62.5
16,Albania,Rest of Europe,2000,24.1,27.2,94.6955,3.92,96,90,25.2,97,97,0.01,1961,3.09,2.1,2.2,8.8,74.0,Developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Albania,Rest of Europe,2001,22.9,25.8,90.939,4.51,96,90,25.2,97,97,0.01,2144,3.06,2.1,2.1,8.7,74.3,Developing,24.1,27.2,94.6955,3.92,96.0,90.0,25.2,97.0,97.0,0.01,1961.0,3.09,2.1,2.2,8.8,74.0,,,,,,,,,,,,,,,,
18,Albania,Rest of Europe,2002,21.7,24.4,87.182,3.96,96,93,25.3,98,98,0.02,2247,3.05,2.0,2.1,9.0,74.6,Developing,22.9,25.8,90.939,4.51,96.0,90.0,25.2,97.0,97.0,0.01,2144.0,3.06,2.1,2.1,8.7,74.3,24.1,27.2,94.6955,3.92,96.0,90.0,25.2,97.0,97.0,0.01,1961.0,3.09,2.1,2.2,8.8,74.0
19,Albania,Rest of Europe,2003,20.4,23.0,86.2855,4.33,97,93,25.4,97,97,0.02,2381,3.04,1.9,2.0,9.0,74.8,Developing,21.7,24.4,87.182,3.96,96.0,93.0,25.3,98.0,98.0,0.02,2247.0,3.05,2.0,2.1,9.0,74.6,22.9,25.8,90.939,4.51,96.0,90.0,25.2,97.0,97.0,0.01,2144.0,3.06,2.1,2.1,8.7,74.3
20,Albania,Rest of Europe,2004,19.1,21.5,85.3885,4.42,99,96,25.5,98,97,0.02,2522,3.03,1.8,1.9,9.1,75.0,Developing,20.4,23.0,86.2855,4.33,97.0,93.0,25.4,97.0,97.0,0.02,2381.0,3.04,1.9,2.0,9.0,74.8,21.7,24.4,87.182,3.96,96.0,93.0,25.3,98.0,98.0,0.02,2247.0,3.05,2.0,2.1,9.0,74.6
21,Albania,Rest of Europe,2005,17.8,20.0,84.4915,4.98,98,97,25.6,97,98,0.03,2676,3.01,1.8,1.8,9.1,75.2,Developing,19.1,21.5,85.3885,4.42,99.0,96.0,25.5,98.0,97.0,0.02,2522.0,3.03,1.8,1.9,9.1,75.0,20.4,23.0,86.2855,4.33,97.0,93.0,25.4,97.0,97.0,0.02,2381.0,3.04,1.9,2.0,9.0,74.8
22,Albania,Rest of Europe,2006,16.6,18.5,83.5945,5.17,98,94,25.7,97,97,0.03,2851,2.99,1.7,1.8,9.2,75.4,Developing,17.8,20.0,84.4915,4.98,98.0,97.0,25.6,97.0,98.0,0.03,2676.0,3.01,1.8,1.8,9.1,75.2,19.1,21.5,85.3885,4.42,99.0,96.0,25.5,98.0,97.0,0.02,2522.0,3.03,1.8,1.9,9.1,75.0
23,Albania,Rest of Europe,2007,15.3,17.1,82.6975,5.46,98,95,25.8,99,98,0.03,3045,2.97,1.6,1.7,9.2,75.6,Developing,16.6,18.5,83.5945,5.17,98.0,94.0,25.7,97.0,97.0,0.03,2851.0,2.99,1.7,1.8,9.2,75.4,17.8,20.0,84.4915,4.98,98.0,97.0,25.6,97.0,98.0,0.03,2676.0,3.01,1.8,1.8,9.1,75.2
24,Albania,Rest of Europe,2008,14.1,15.8,82.1105,5.56,99,98,25.9,99,99,0.03,3298,2.95,1.6,1.6,9.2,75.9,Developing,15.3,17.1,82.6975,5.46,98.0,95.0,25.8,99.0,98.0,0.03,3045.0,2.97,1.6,1.7,9.2,75.6,16.6,18.5,83.5945,5.17,98.0,94.0,25.7,97.0,97.0,0.03,2851.0,2.99,1.7,1.8,9.2,75.4
25,Albania,Rest of Europe,2009,12.9,14.5,81.5235,5.79,98,98,26.0,98,98,0.03,3432,2.93,1.5,1.6,9.3,76.2,Developing,14.1,15.8,82.1105,5.56,99.0,98.0,25.9,99.0,99.0,0.03,3298.0,2.95,1.6,1.6,9.2,75.9,15.3,17.1,82.6975,5.46,98.0,95.0,25.8,99.0,98.0,0.03,3045.0,2.97,1.6,1.7,9.2,75.6
26,Albania,Rest of Europe,2010,11.8,13.3,80.9365,4.88,99,98,26.1,99,99,0.03,3577,2.91,1.4,1.5,9.3,76.6,Developing,12.9,14.5,81.5235,5.79,98.0,98.0,26.0,98.0,98.0,0.03,3432.0,2.93,1.5,1.6,9.3,76.2,14.1,15.8,82.1105,5.56,99.0,98.0,25.9,99.0,99.0,0.03,3298.0,2.95,1.6,1.6,9.2,75.9
27,Albania,Rest of Europe,2011,10.8,12.1,80.349,5.03,99,99,26.2,99,99,0.03,3678,2.91,1.4,1.5,9.3,76.9,Developing,11.8,13.3,80.9365,4.88,99.0,98.0,26.1,99.0,99.0,0.03,3577.0,2.91,1.4,1.5,9.3,76.6,12.9,14.5,81.5235,5.79,98.0,98.0,26.0,98.0,98.0,0.03,3432.0,2.93,1.5,1.6,9.3,76.2
28,Albania,Rest of Europe,2012,10.0,11.2,79.762,4.43,99,99,26.3,99,99,0.03,3736,2.9,1.3,1.4,9.6,77.3,Developing,10.8,12.1,80.349,5.03,99.0,99.0,26.2,99.0,99.0,0.03,3678.0,2.91,1.4,1.5,9.3,76.9,11.8,13.3,80.9365,4.88,99.0,98.0,26.1,99.0,99.0,0.03,3577.0,2.91,1.4,1.5,9.3,76.6
29,Albania,Rest of Europe,2013,9.3,10.4,78.243,4.28,99,99,26.4,99,99,0.03,3781,2.9,1.3,1.4,9.7,77.6,Developing,10.0,11.2,79.762,4.43,99.0,99.0,26.3,99.0,99.0,0.03,3736.0,2.9,1.3,1.4,9.6,77.3,10.8,12.1,80.349,5.03,99.0,99.0,26.2,99.0,99.0,0.03,3678.0,2.91,1.4,1.5,9.3,76.9
30,Albania,Rest of Europe,2014,8.8,9.9,76.724,4.1,98,98,26.5,98,98,0.03,3856,2.89,1.2,1.3,9.7,77.8,Developing,9.3,10.4,78.243,4.28,99.0,99.0,26.4,99.0,99.0,0.03,3781.0,2.9,1.3,1.4,9.7,77.6,10.0,11.2,79.762,4.43,99.0,99.0,26.3,99.0,99.0,0.03,3736.0,2.9,1.3,1.4,9.6,77.3
31,Albania,Rest of Europe,2015,8.5,9.6,75.205,4.33,99,98,26.6,99,99,0.03,3953,2.88,1.2,1.3,9.7,78.0,Developing,8.8,9.9,76.724,4.1,98.0,98.0,26.5,98.0,98.0,0.03,3856.0,2.89,1.2,1.3,9.7,77.8,9.3,10.4,78.243,4.28,99.0,99.0,26.4,99.0,99.0,0.03,3781.0,2.9,1.3,1.4,9.7,77.6
32,Algeria,Africa,2000,33.9,39.7,140.486,0.25,81,78,24.3,86,86,0.01,3111,31.04,6.5,6.4,5.9,70.6,Developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Algeria,Africa,2001,33.3,38.9,136.2,0.23,81,73,24.4,89,89,0.01,3163,31.45,6.4,6.3,6.1,71.1,Developing,33.9,39.7,140.486,0.25,81.0,78.0,24.3,86.0,86.0,0.01,3111.0,31.04,6.5,6.4,5.9,70.6,,,,,,,,,,,,,,,,
34,Algeria,Africa,2002,32.4,37.8,131.915,0.36,81,93,24.4,86,86,0.01,3298,31.86,6.3,6.2,6.3,71.6,Developing,33.3,38.9,136.2,0.23,81.0,73.0,24.4,89.0,89.0,0.01,3163.0,31.45,6.4,6.3,6.1,71.1,33.9,39.7,140.486,0.25,81.0,78.0,24.3,86.0,86.0,0.01,3111.0,31.04,6.5,6.4,5.9,70.6
35,Algeria,Africa,2003,31.3,36.5,127.5385,0.33,81,96,24.5,87,87,0.01,3490,32.26,6.3,6.1,6.5,72.1,Developing,32.4,37.8,131.915,0.36,81.0,93.0,24.4,86.0,86.0,0.01,3298.0,31.86,6.3,6.2,6.3,71.6,33.3,38.9,136.2,0.23,81.0,73.0,24.4,89.0,89.0,0.01,3163.0,31.45,6.4,6.3,6.1,71.1
36,Algeria,Africa,2004,30.1,35.1,123.162,0.45,81,94,24.6,86,86,0.02,3593,32.69,6.2,6.1,6.7,72.6,Developing,31.3,36.5,127.5385,0.33,81.0,96.0,24.5,87.0,87.0,0.01,3490.0,32.26,6.3,6.1,6.5,72.1,32.4,37.8,131.915,0.36,81.0,93.0,24.4,86.0,86.0,0.01,3298.0,31.86,6.3,6.2,6.3,71.6
37,Algeria,Africa,2005,28.8,33.6,118.7855,0.5,83,94,24.7,88,88,0.02,3752,33.15,6.1,6.0,6.9,73.1,Developing,30.1,35.1,123.162,0.45,81.0,94.0,24.6,86.0,86.0,0.02,3593.0,32.69,6.2,6.1,6.7,72.6,31.3,36.5,127.5385,0.33,81.0,96.0,24.5,87.0,87.0,0.01,3490.0,32.26,6.3,6.1,6.5,72.1
38,Algeria,Africa,2006,27.6,32.1,114.4095,0.38,80,98,24.7,95,95,0.02,3760,33.64,6.1,6.0,7.0,73.5,Developing,28.8,33.6,118.7855,0.5,83.0,94.0,24.7,88.0,88.0,0.02,3752.0,33.15,6.1,6.0,6.9,73.1,30.1,35.1,123.162,0.45,81.0,94.0,24.6,86.0,86.0,0.02,3593.0,32.69,6.2,6.1,6.7,72.6
39,Algeria,Africa,2007,26.4,30.7,110.033,0.34,90,95,24.8,95,95,0.02,3828,34.17,6.0,5.9,7.2,73.9,Developing,27.6,32.1,114.4095,0.38,80.0,98.0,24.7,95.0,95.0,0.02,3760.0,33.64,6.1,6.0,7.0,73.5,28.8,33.6,118.7855,0.5,83.0,94.0,24.7,88.0,88.0,0.02,3752.0,33.15,6.1,6.0,6.9,73.1
40,Algeria,Africa,2008,25.3,29.5,108.0665,0.37,91,96,24.9,92,93,0.02,3856,34.73,6.0,5.9,6.7,74.3,Developing,26.4,30.7,110.033,0.34,90.0,95.0,24.8,95.0,95.0,0.02,3828.0,34.17,6.0,5.9,7.2,73.9,27.6,32.1,114.4095,0.38,80.0,98.0,24.7,95.0,95.0,0.02,3760.0,33.64,6.1,6.0,7.0,73.5
41,Algeria,Africa,2009,24.4,28.4,106.1,0.43,94,98,25.0,94,95,0.02,3851,35.33,6.0,5.9,6.9,74.6,Developing,25.3,29.5,108.0665,0.37,91.0,96.0,24.9,92.0,93.0,0.02,3856.0,34.73,6.0,5.9,6.7,74.3,26.4,30.7,110.033,0.34,90.0,95.0,24.8,95.0,95.0,0.02,3828.0,34.17,6.0,5.9,7.2,73.9
42,Algeria,Africa,2010,23.6,27.4,104.1335,0.35,95,95,25.1,95,95,0.02,3918,35.98,5.9,5.8,7.1,74.9,Developing,24.4,28.4,106.1,0.43,94.0,98.0,25.0,94.0,95.0,0.02,3851.0,35.33,6.0,5.9,6.9,74.6,25.3,29.5,108.0665,0.37,91.0,96.0,24.9,92.0,93.0,0.02,3856.0,34.73,6.0,5.9,6.7,74.3
43,Algeria,Africa,2011,22.9,26.7,102.167,0.4,95,96,25.1,95,95,0.02,3957,36.66,5.9,5.8,7.4,75.2,Developing,23.6,27.4,104.1335,0.35,95.0,95.0,25.1,95.0,95.0,0.02,3918.0,35.98,5.9,5.8,7.1,74.9,24.4,28.4,106.1,0.43,94.0,98.0,25.0,94.0,95.0,0.02,3851.0,35.33,6.0,5.9,6.9,74.6
44,Algeria,Africa,2012,22.5,26.2,100.2005,0.43,95,95,25.2,95,95,0.03,4012,37.38,5.9,5.8,7.6,75.4,Developing,22.9,26.7,102.167,0.4,95.0,96.0,25.1,95.0,95.0,0.02,3957.0,36.66,5.9,5.8,7.4,75.2,23.6,27.4,104.1335,0.35,95.0,95.0,25.1,95.0,95.0,0.02,3918.0,35.98,5.9,5.8,7.1,74.9
45,Algeria,Africa,2013,22.1,25.8,98.739,0.5,95,93,25.3,95,95,0.03,4043,38.14,5.9,5.8,7.8,75.7,Developing,22.5,26.2,100.2005,0.43,95.0,95.0,25.2,95.0,95.0,0.03,4012.0,37.38,5.9,5.8,7.6,75.4,22.9,26.7,102.167,0.4,95.0,96.0,25.1,95.0,95.0,0.02,3957.0,36.66,5.9,5.8,7.4,75.2
46,Algeria,Africa,2014,21.9,25.5,97.277,0.54,95,99,25.4,95,95,0.04,4112,38.92,6.0,5.8,7.9,75.9,Developing,22.1,25.8,98.739,0.5,95.0,93.0,25.3,95.0,95.0,0.03,4043.0,38.14,5.9,5.8,7.8,75.7,22.5,26.2,100.2005,0.43,95.0,95.0,25.2,95.0,95.0,0.03,4012.0,37.38,5.9,5.8,7.6,75.4
47,Algeria,Africa,2015,21.6,25.2,95.8155,0.55,95,99,25.5,95,95,0.05,4178,39.73,6.0,5.8,7.9,76.1,Developing,21.9,25.5,97.277,0.54,95.0,99.0,25.4,95.0,95.0,0.04,4112.0,38.92,6.0,5.8,7.9,75.9,22.1,25.8,98.739,0.5,95.0,93.0,25.3,95.0,95.0,0.03,4043.0,38.14,5.9,5.8,7.8,75.7
48,Angola,Africa,2000,121.5,204.4,371.4315,1.47,67,64,21.7,21,28,1.24,1832,16.4,1.9,1.9,4.4,46.5,Developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Angola,Africa,2001,118.2,198.4,361.129,1.94,67,64,21.8,28,38,1.36,1847,16.95,1.7,1.7,4.4,47.1,Developing,121.5,204.4,371.4315,1.47,67.0,64.0,21.7,21.0,28.0,1.24,1832.0,16.4,1.9,1.9,4.4,46.5,,,,,,,,,,,,,,,,
50,Angola,Africa,2002,114.5,191.5,350.8275,2.08,67,64,21.9,22,41,1.39,2031,17.52,1.5,1.5,4.4,47.7,Developing,118.2,198.4,361.129,1.94,67.0,64.0,21.8,28.0,38.0,1.36,1847.0,16.95,1.7,1.7,4.4,47.1,121.5,204.4,371.4315,1.47,67.0,64.0,21.7,21.0,28.0,1.24,1832.0,16.4,1.9,1.9,4.4,46.5
51,Angola,Africa,2003,110.4,183.8,340.0665,2.2,67,64,22.0,21,40,1.43,2022,18.12,1.4,1.3,4.4,48.4,Developing,114.5,191.5,350.8275,2.08,67.0,64.0,21.9,22.0,41.0,1.39,2031.0,17.52,1.5,1.5,4.4,47.7,118.2,198.4,361.129,1.94,67.0,64.0,21.8,28.0,38.0,1.36,1847.0,16.95,1.7,1.7,4.4,47.1
52,Angola,Africa,2004,105.7,175.1,329.306,2.41,67,64,22.2,18,40,1.45,2168,18.76,1.2,1.1,4.4,49.3,Developing,110.4,183.8,340.0665,2.2,67.0,64.0,22.0,21.0,40.0,1.43,2022.0,18.12,1.4,1.3,4.4,48.4,114.5,191.5,350.8275,2.08,67.0,64.0,21.9,22.0,41.0,1.39,2031.0,17.52,1.5,1.5,4.4,47.7
53,Angola,Africa,2005,100.9,166.1,318.546,3.49,67,64,22.3,14,38,1.49,2407,19.43,1.0,9.9,4.4,50.2,Developing,105.7,175.1,329.306,2.41,67.0,64.0,22.2,18.0,40.0,1.45,2168.0,18.76,1.2,1.1,4.4,49.3,110.4,183.8,340.0665,2.2,67.0,64.0,22.0,21.0,40.0,1.43,2022.0,18.12,1.4,1.3,4.4,48.4
54,Angola,Africa,2006,95.7,156.4,307.785,4.02,67,64,22.4,8,34,1.48,2589,20.15,9.8,9.7,4.5,51.1,Developing,100.9,166.1,318.546,3.49,67.0,64.0,22.3,14.0,38.0,1.49,2407.0,19.43,1.0,9.9,4.4,50.2,105.7,175.1,329.306,2.41,67.0,64.0,22.2,18.0,40.0,1.45,2168.0,18.76,1.2,1.1,4.4,49.3
55,Angola,Africa,2007,90.6,147.0,297.0245,4.68,73,64,22.5,43,73,1.45,2845,20.91,9.6,9.6,4.5,52.2,Developing,95.7,156.4,307.785,4.02,67.0,64.0,22.4,8.0,34.0,1.48,2589.0,20.15,9.8,9.7,4.5,51.1,100.9,166.1,318.546,3.49,67.0,64.0,22.3,14.0,38.0,1.49,2407.0,19.43,1.0,9.9,4.4,50.2
56,Angola,Africa,2008,85.5,137.7,288.09,5.19,69,64,22.6,36,69,1.41,3048,21.7,9.5,9.4,4.6,53.2,Developing,90.6,147.0,297.0245,4.68,73.0,64.0,22.5,43.0,73.0,1.45,2845.0,20.91,9.6,9.6,4.5,52.2,95.7,156.4,307.785,4.02,67.0,64.0,22.4,8.0,34.0,1.48,2589.0,20.15,9.8,9.7,4.5,51.1
57,Angola,Africa,2009,80.6,128.7,279.156,6.12,61,64,22.7,36,60,1.39,2962,22.51,9.3,9.2,4.7,54.3,Developing,85.5,137.7,288.09,5.19,69.0,64.0,22.6,36.0,69.0,1.41,3048.0,21.7,9.5,9.4,4.6,53.2,90.6,147.0,297.0245,4.68,73.0,64.0,22.5,43.0,73.0,1.45,2845.0,20.91,9.6,9.6,4.5,52.2
58,Angola,Africa,2010,75.9,120.4,270.221,7.58,77,64,22.8,56,77,1.33,2994,23.36,9.1,9.0,4.7,55.4,Developing,80.6,128.7,279.156,6.12,61.0,64.0,22.7,36.0,60.0,1.39,2962.0,22.51,9.3,9.2,4.7,54.3,85.5,137.7,288.09,5.19,69.0,64.0,22.6,36.0,69.0,1.41,3048.0,21.7,9.5,9.4,4.6,53.2
59,Angola,Africa,2011,71.5,112.5,261.2865,7.66,72,64,22.9,50,71,1.25,2988,24.22,8.9,8.8,4.7,56.3,Developing,75.9,120.4,270.221,7.58,77.0,64.0,22.8,56.0,77.0,1.33,2994.0,23.36,9.1,9.0,4.7,55.4,80.6,128.7,279.156,6.12,61.0,64.0,22.7,36.0,60.0,1.39,2962.0,22.51,9.3,9.2,4.7,54.3
60,Angola,Africa,2012,67.4,105.1,252.352,7.83,75,64,23.0,54,75,1.21,3128,25.11,8.8,8.6,4.8,57.2,Developing,71.5,112.5,261.2865,7.66,72.0,64.0,22.9,50.0,71.0,1.25,2988.0,24.22,8.9,8.8,4.7,56.3,75.9,120.4,270.221,7.58,77.0,64.0,22.8,56.0,77.0,1.33,2994.0,23.36,9.1,9.0,4.7,55.4
61,Angola,Africa,2013,63.7,98.5,249.2235,7.67,77,64,23.1,48,77,1.12,3169,26.02,8.6,8.5,4.9,58.1,Developing,67.4,105.1,252.352,7.83,75.0,64.0,23.0,54.0,75.0,1.21,3128.0,25.11,8.8,8.6,4.8,57.2,71.5,112.5,261.2865,7.66,72.0,64.0,22.9,50.0,71.0,1.25,2988.0,24.22,8.9,8.8,4.7,56.3
62,Angola,Africa,2014,60.5,92.9,246.0945,8.1,64,64,23.2,55,64,0.97,3207,26.94,8.5,8.3,4.9,58.8,Developing,63.7,98.5,249.2235,7.67,77.0,64.0,23.1,48.0,77.0,1.12,3169.0,26.02,8.6,8.5,4.9,58.1,67.4,105.1,252.352,7.83,75.0,64.0,23.0,54.0,75.0,1.21,3128.0,25.11,8.8,8.6,4.8,57.2
63,Angola,Africa,2015,57.7,88.1,242.9655,6.53,64,64,23.2,62,64,0.89,3128,27.88,8.3,8.2,5.0,59.4,Developing,60.5,92.9,246.0945,8.1,64.0,64.0,23.2,55.0,64.0,0.97,3207.0,26.94,8.5,8.3,4.9,58.8,63.7,98.5,249.2235,7.67,77.0,64.0,23.1,48.0,77.0,1.12,3169.0,26.02,8.6,8.5,4.9,58.1
64,Antigua and Barbuda,Central America and Caribbean,2000,12.6,15.5,156.232,6.86,98,58,25.1,96,95,0.1,14070,0.08,3.7,3.6,7.0,73.9,Developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Antigua and Barbuda,Central America and Caribbean,2001,12.3,15.1,154.2495,6.85,96,60,25.2,99,97,0.1,13220,0.08,3.6,3.5,8.9,74.2,Developing,12.6,15.5,156.232,6.86,98.0,58.0,25.1,96.0,95.0,0.1,14070.0,0.08,3.7,3.6,7.0,73.9,,,,,,,,,,,,,,,,
